"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"date/time: posted date/time of the transaction"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"Note: Reports with start date of Jan 1, 2025 or later are indexed by posted date, include both released and deferred transactions and have two new columns. You may need to update integrations or third-party mappings."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total","Transaction Status","Transaction Release Date"
"Mar 1, 2026 12:12:10 AM PST","25788732721","Order","114-2417721-7585845","SPray-15L-RJ","VIVOSUN 50oz Pump Sprayer, Handheld Garden Water Sprayer Bottle with Adjustable Brass Nozzle, for Spraying Plants, Flowers, Weeds and Cleaning, Red","1","amazon.com","Standard Orders","Amazon","KANSAS CITY","MO","64151","MarketplaceFacilitator","17.99","1.57","0","0","0","0","0","0","0","0","-1.57","-2.70","-6.98","0","0","8.31","Released","Mar 1, 2026 12:12:10 AM PST"
"Mar 1, 2026 12:12:10 AM PST","25788732721","Order","114-0043768-3725011","SPray-OR-8L","VIVOSUN 2.1Gal/8L Pump Pressure Sprayer, Pressurized Water Spray Bottle with Adjustable Shoulder Strap, Adjustable Nozzle, Safety Valve & Additional S","1","amazon.com","Standard Orders","Amazon","ARLINGTON","VA","22204","MarketplaceFacilitator","28.79","1.73","0","0","0","0","0","0","0","0","-1.73","-4.32","-12.27","0","0","12.20","Released","Mar 1, 2026 12:12:10 AM PST"
"Mar 1, 2026 12:12:18 AM PST","25788732721","Order","111-7181173-4143457","332572J","VIVOSUN 800GPH Submersible Pump(3000L/H, 24W), Ultra Quiet Water Fountain Pump with 10ft. High Lift with 6.5ft. Power Cord, 3 Nozzles for Fish Tank, P","1","amazon.com","Standard Orders","Amazon","TUCSON","AZ","85747","MarketplaceFacilitator","22.49","1.96","0","0","0","0","0","0","0","0","-1.96","-3.37","-5.80","0","0","13.32","Released","Mar 1, 2026 12:12:18 AM PST"
"Mar 1, 2026 12:12:27 AM PST","25788732721","Order","114-8921644-9822641","311001-7x5NJ","VIVOSUN 5-Pack 7 Gallon Plant Grow Bags, Heavy Duty Thickened Nonwoven Fabric Pots with Handles","1","amazon.com","Standard Orders","Amazon","NEW BRAUNFELS","TX","78130","MarketplaceFacilitator","16.19","1.34","1.49","0","0","0","0","0","-1.49","0","-1.34","-2.43","-5.71","0","0","8.05","Released","Mar 1, 2026 12:12:27 AM PST"
"Mar 1, 2026 12:12:27 AM PST","25788732721","Order","112-6501541-8737815","330103NJ","VIVOSUN Durable Waterproof Seedling Heat Mat 48"" x 20.75"" UL & MET-Certified Warm Hydroponic Heating Pad for Germination, Indoor Gardening, Greenhouse","1","amazon.com","Standard Orders","Amazon","MECHANICSVILLE","VA","23111","MarketplaceFacilitator","39.09","2.35","0","0","0","0","0","0","0","0","-2.35","-5.86","-9.82","0","0","23.41","Released","Mar 1, 2026 12:12:27 AM PST"
"Mar 1, 2026 12:12:28 AM PST","25788732721","Order","112-6082425-7254602","VSH-IS03","VIVOSUN Solar Automatic Drip Irrigation Kits with Timer, 3W Output, Solar Powered Auto Drip Irrigation System, 15 Pots Garden Plant Watering System, P","1","amazon.com","Standard Orders","Amazon","HOUSTON","TX","77056","MarketplaceFacilitator","49.99","4.12","0","0","0","0","0","0","0","0","-4.12","-7.50","-5.93","0","0","36.56","Released","Mar 1, 2026 12:12:28 AM PST"
"Mar 1, 2026 12:12:32 AM PST","25788732721","Order","113-9435515-2079418","330101NJ","VIVOSUN Durable Waterproof Seedling Heat Mat 10"" x 20.75"" UL & MET-Certified Warm Hydroponic Heating Pad for Germination, Indoor Gardening, Greenhouse","1","amazon.com","Standard Orders","Amazon","LINCOLN","NE","68512","MarketplaceFacilitator","14.99","1.09","0","0","0","0","0","0","0","0","-1.09","-2.25","-4.52","0","0","8.22","Released","Mar 1, 2026 12:12:32 AM PST"
"Mar 1, 2026 12:12:51 AM PST","25788732721","Order","112-5091713-6956243","NB-001J","VIVOSUN Liquid Nutrients Base A & B Bundle, Grow Big Hydroponic Fertilizer, Supports Vegetative and Flowering Stages for Outdoor, Indoor Plants, Best","1","amazon.com","Standard Orders","Amazon","CIBOLO","TX","78108","MarketplaceFacilitator","35.99","2.97","1.50","0","0","0","0","0","-1.50","0","-2.97","-5.40","-7.46","0","0","23.13","Released","Mar 1, 2026 12:12:51 AM PST"
"Mar 1, 2026 12:12:51 AM PST","25788732721","Order","112-5091713-6956243","VSN-CAMGIR32J","VIVOSUN Cal+Mag+Iron (2-0-0), Calcium, Magnesium & Iron Supplement, Liquid Nutrient Fertilizer for All Plants, Concentrated Plant Food for Soil/Soille","1","amazon.com","Standard Orders","Amazon","CIBOLO","TX","78108","MarketplaceFacilitator","26.99","2.23","1.49","0","0","0","0","0","-1.49","0","-2.23","-4.05","-6.12","0","0","16.82","Released","Mar 1, 2026 12:12:51 AM PST"
"Mar 1, 2026 12:13:04 AM PST","25788732721","Order","114-9834782-3341000","LH-001-2","VIVOSUN 2-Pair 1/8 Inch Adjustable Grow Light Hanger, Heavy Duty Rope Hanger with Reinforced Metal Gears, 8Ft. Long and 150 lbs Weight Capacity Rope f","1","amazon.com","Standard Orders","Amazon","Kansas city","Missouri","64108","MarketplaceFacilitator","13.99","1.05","0","0","0","0","0","0","0","0","-1.05","-2.10","-4.13","0","0","7.76","Released","Mar 1, 2026 12:13:04 AM PST"
