"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Date/Time: Posted date/time of the transaction"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"Note: Reports with a start date of Jan 1, 2025 or later are indexed by posted date, include both released and deferred transactions and have two new columns. You may need to update integrations or third-party mappings."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","gift wrap credits tax","Regulatory fee","Tax on regulatory fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total","Transaction status","Transaction Release Date"
"Apr 1, 2026 11:28:00 a.m. PDT","25978195091","Order","702-4254518-9856220","330701-01K","VIVOSUN Heavy-Duty Polyester Plant Trellis Netting 5 x 15ft, 1 Pack","1","amazon.ca","Amazon","Marmora","Ontario","K0K 2M","Combined TCS+MTC","9.99","1.30","3.27","0","0","0","0","0","-3.27","0","-1.30","-1.50","-3.61","0","0","4.88","Released","Apr 1, 2026 11:28:00 a.m. PDT"
"Apr 1, 2026 11:28:50 a.m. PDT","25978195091","Order","701-3037119-0490637","311021-10x5K","VIVOSUN 5-Pack 10 Gallon Grow Bags Heavy Duty 300G Thickened Nonwoven Plant Fabric Pots with Handles Tan","2","amazon.ca","Amazon","Powell River","British Columbia","V8A 0H","Combined TCS+MTC","46.78","5.62","5.87","0","0","0","0","0","-5.87","0","-5.62","-7.02","-21.06","0","0","18.70","Released","Apr 1, 2026 11:28:50 a.m. PDT"
"Apr 1, 2026 11:28:50 a.m. PDT","25978195091","Order","701-3037119-0490637","311001-15x5K","VIVOSUN 5-Pack 15 Gallon Grow Bags Heavy Duty 300G Thickened Nonwoven Plant Fabric Pots with Handles","1","amazon.ca","Amazon","Powell River","British Columbia","V8A 0H","Combined TCS+MTC","26.99","3.24","2.94","0","0","0","0","0","-2.94","0","-3.24","-4.05","-10.26","0","0","12.68","Released","Apr 1, 2026 11:28:50 a.m. PDT"
"Apr 1, 2026 11:31:24 a.m. PDT","25978195091","Order","702-4867352-2339450","CHTrimer-01K","VIVOSUN 20"" Cordless Hedge Trimmer, 20V Electric Bush Trimmer, 1400 RPM Shrub Trimmer, Dual-Action Laser Blade, 3/5"" Cutting Capacity, Lightweight & C","1","amazon.ca","Amazon","Brampton","Ontario","L6V 2P","Combined TCS+MTC","59.99","7.80","0","0","0","0","0","0","0","0","-7.80","-9.00","-18.81","0","0","32.18","Released","Apr 1, 2026 11:31:24 a.m. PDT"
"Apr 1, 2026 11:35:29 a.m. PDT","25978195091","Refund","702-5428432-4823400","VSF-AWE6-G2","VIVOSUN AeroWave E6 Gen2, Grow Tent Clip Fan 6"", EC Motor, Smart Control, Powerful Oscillating Fan, Local Timer, Weatherproof IP54, for Hydroponics Ci","1","amazon.ca","Amazon","Aurora","Ontario","L4G 0Z","","-77.36","0","0","0","0","0","0","0","0","0","0","9.28","0","0","0","-68.08","Released","Apr 1, 2026 11:35:29 a.m. PDT"
"Apr 1, 2026 12:03:20 p.m. PDT","25978195091","Order","702-0784117-4501032","311021-20x5K","VIVOSUN 5-Pack 20 Gallon Grow Bags Heavy Duty 300G Thickened Nonwoven Plant Fabric Pots with Handles Tan","1","amazon.ca","Amazon","Calgary","Alberta","T2E 1Z","Combined TCS+MTC","32.99","1.65","2.33","0","0","0","0","0","-2.33","0","-1.65","-4.95","-10.62","0","0","17.42","Released","Apr 1, 2026 12:03:20 p.m. PDT"
"Apr 1, 2026 12:05:59 p.m. PDT","25978195091","Order","701-4848028-6909043","332023K","VIVOSUN Slide-Out Jewelry Loupe Magnifier 30X 60X 90X LED Lighted Eye Loupe with UV Light for Jewelry, Diamonds, Gems, Coins, Stamps, Rocks, Black","1","amazon.ca","Amazon","Minden","Ontario","K0M 2L","Combined TCS+MTC","19.99","2.60","2.51","0","0","0","0","0","-2.51","0","-2.60","-2.40","-5.92","0","0","11.67","Released","Apr 1, 2026 12:05:59 p.m. PDT"
"Apr 1, 2026 12:06:25 p.m. PDT","25978195091","Order","702-9708174-3541860","333101-GK","VIVOSUN Indoor Hydroponics LED Grow Room Glasses with Glasses Case","1","amazon.ca","Amazon","Slt-Mathieu du parc","Québec","G0X1N","Combined TCS+MTC","18.99","2.84","5.19","0.78","0","0","0","0","0","0","-3.62","-3.23","-11.55","0","0","9.40","Released","Apr 1, 2026 12:06:25 p.m. PDT"
"Apr 1, 2026 12:06:34 p.m. PDT","25978195091","Order","702-2544544-5402621","305131-PENK","VIVOSUN Digital pH Meter, 0.01pH High Accuracy Pen Type pH Tester for Hydroponics, Household Drinking, Pool and Aquarium, Yellow, UL Certified","1","amazon.ca","Amazon","Forestburg","Alberta","T0B 0H","Combined TCS+MTC","15.99","0.80","0","0","0","0","0","0","0","0","-0.80","-1.92","-6.07","0","0","8.00","Released","Apr 1, 2026 12:06:34 p.m. PDT"
"Apr 1, 2026 12:13:36 p.m. PDT","25978195091","Adjustment","702-7703811-5305043","LH-001-2K","FBA Inventory Reimbursement - Customer Return","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.80","9.80","Released","Apr 1, 2026 12:13:36 p.m. PDT"
