"snapshot-date","sku","fnsku","asin","product-name","condition","per-unit-volume","currency","volume-unit","country","qty-charged","amount-charged","surcharge-age-tier","rate-surcharge"
"2026-04-15T00:00:00+00:00","332022-2-UK","X0022UFDJ7","B07VK1LVN6","VIVOSUN 2-Pack 30X 60X Illuminated Jewelers Loupe Foldable Magnifier with LED Light for Jewelry Gems Watches Coins Stamps Antiques Black","New","0.0176","GBP","cubic_feet","GB","117","29.23","456+","0.25"
"2026-04-15T00:00:00+00:00","TN-33-UK","X0022UFAD1","B0BY2CVFB9","VIVOSUN Garden Netting 90 x 90 cm Elastic Trellis Net with 4 Hooks Trellis Net for Climbing Plants Vegetables Fruits and Flowers","New","0.0256","GBP","cubic_feet","GB","31","7.74","456+","0.25"
"2026-04-15T00:00:00+00:00","VSH-IS03-UK","X0022UF9AZ","B0BXD9RK42","VIVOSUN Solar Automatic Drip Irrigation Kits with Timer, 3W Output, Solar Powered Auto Drip Irrigation System, 15 Pots Garden Plant Watering System, Plant Waterer Indoor Outdoor","New","0.1653","GBP","cubic_feet","GB","78","79.18","456+","1.02"
"2026-04-15T00:00:00+00:00","306101S-4-UK","X0022UEPPZ","B01CTM0H6I","VIVOSUN Inline Duct Fan 4 Inch 203 CFM with Variable Speed Control for Grow Tent, Ventilation, Plant Tent, Indoor, Garden, Ventilation Fan, Z4 Pipe Fan, Black","New","0.7005","GBP","cubic_feet","GB","20","86.02","456+","4.3"
"2026-04-15T00:00:00+00:00","306101S-8-UK","X0022UCQOR","B01CTM0LLO","VIVOSUN Inline Duct Fan 8 Inch 740 CFM with Variable Speed Control for Grow Tent, Ventilation, Plant Tent, Indoor, Garden, Ventilation Fan, Z8 Pipe Fan, Black","New","1.3515","GBP","cubic_feet","GB","32","265.54","456+","8.3"
"2026-04-15T00:00:00+00:00","306201P-6-UK","X0022UCNU9","B01DXYMJ94","VIVOSUN Inline Duct Fan 6 Inch 390 CFM EC Motor with Speed Controller, Quiet Pipe Fan, R6 Pipe Fan for Grow Tent, Greenhouse Ventilation","New","0.7434","GBP","cubic_feet","GB","15","68.46","456+","4.56"
"2026-04-15T00:00:00+00:00","306101S-6-UK","X0022UCHDH","B01CTM0JF2","VIVOSUN Inline Duct Fan 6 Inch 440 CFM with Variable Speed Control for Grow Tent, Ventilation, Plant Tent, Indoor, Garden, Ventilation Fan, Z6 Pipe Fan, Black","New","0.9678","GBP","cubic_feet","GB","9","53.48","456+","5.94"
"2026-04-15T00:00:00+00:00","TN-22-UK","X0022UAIC9","B0BY2BGGN2","VIVOSUN Garden Netting 60 x 60 cm, Elastic Trellis Net with 4 Hooks Trellis Net for Climbing Plants Vegetables Fruits and Flowers","New","0.0214","GBP","cubic_feet","GB","39","9.74","456+","0.25"
"2026-04-15T00:00:00+00:00","311003-5X3NJ-UK","X0022UAF3L","B088GVCMZH","VIVOSUN Pack of 3 Secateurs 17 cm Plant Shears with Ergonomic Handles Loppers with Curved Blades and Titanium Non-Stick Coating Rose Scissors Blue","New","0.0304","GBP","cubic_feet","GB","94","23.48","456+","0.25"
"2026-04-15T00:00:00+00:00","304113-P276-UK","X0022PY31L","B0CGHJ3F21","VIVOSUN Pro Grow Tent 80x80x160 CM (32""x32""x63""), with Thick 22 mm Poles, 2000DOxford Fabric with Highly Reflective Mylar Extra Hanging Poles, Growbox for Hydroponics Indoor Growing (No High CFM Set)","New","1.809","GBP","cubic_feet","GB","20","222.14","456+","11.11"
"2026-04-15T00:00:00+00:00","304113-P224-UK","X0022PY2IZ","B0CGHDFN7T","VIVOSUN Pro Grow Tent 60x60x120 CM (24""x24""x48""), with Thick 22 mm Poles, 2000D Oxford Fabric with Highly Reflective Mylar Extra Hanging Poles for Hydroponics Indoor Plant, No High CFM Set","New","1.2714","GBP","cubic_feet","GB","9","70.26","456+","7.81"
